問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解番号(0-3),カテゴリー(パーティ/歴史/マインクラフト/F1),難易度(1-5)
統合版マインクラフトにおいて、トライデントに付与できるエンチャント「忠誠」の最大レベルはいくつか,I,II,III,V,2,マインクラフト,2
Ver1.21で追加された武器「メイス」に付与できる、落下ダメージを増加させるエンチャントの名称はどれか,鋭さ(ダメージ増加),密度(重撃),拡散,防具貫通(違反),1,マインクラフト,3
統合版における「虫特効」エンチャントの最大レベルはいくつか,III,IV,V,VI,2,マインクラフト,2
次のうち、弓に付与できるエンチャントとして「無限」と競合して同時に付けられないものはどれか,耐久力,衝撃(パンチ),火炎(フレイム),修繕,3,マインクラフト,3
Ver1.21で追加された構造物「試練の間(トライアルチャンバー)」を見つけるために使用するコマンドはどれか,/locate structure trial_chambers,/locate structure trial_ruins,/locate structure ancient_city,/locate biome trial_chambers,0,マインクラフト,3
「試練の間」に生成される「試練のスポナー」のクールタイム(リセット時間)は何分か,10分,20分,30分,60分,2,マインクラフト,3
「試練の間」で入手できる「試練の鍵」は何を開けるために使用するか,チェスト,エンダーチェスト,宝物庫,シュルカーボックス,2,マインクラフト,2
ポーション醸造において、「暗視のポーション」を作成するために必要な材料はどれか,金のニンジン,マグマクリーム,ガストの涙,フグ,0,マインクラフト,3
「水中呼吸のポーション」を作成するために必要な材料はどれか,カメの甲羅,フグ,発酵したクモの目,ウサギの足,1,マインクラフト,3
「跳躍のポーション」を作成するために必要な材料はどれか,スライムボール,ウサギの足,ファントムの皮膜,砂糖,1,マインクラフト,3
「低速落下のポーション」を作成するために必要な材料はどれか,ガストの涙,羽根,ファントムの皮膜,低速の涙,2,マインクラフト,3
村人を「司書」に就職させるために必要な職業ブロックはどれか,製図台,書見台,機織り機,調合台,1,マインクラフト,1
村人を「農民」に就職させるために必要な職業ブロックはどれか,燻製器,大釜,樽,コンポスター,3,マインクラフト,1
村人を「武器鍛冶」に就職させるために必要な職業ブロックはどれか,溶鉱炉,鍛冶台,石臼(砥石),鉄の金床,2,マインクラフト,2
村人を「羊飼い」に就職させるために必要な職業ブロックはどれか,機織り機,羊毛ブロック,フェンス,矢細工台,0,マインクラフト,2
地図の縮尺を拡張(ズームアウト)する際、最大で何倍のサイズまで拡張できるか,4倍(512x512),8倍(1024x1024),16倍(2048x2048),32倍(4096x4096),2,マインクラフト,2
地図を持った際、プレイヤーが向いている方角が「上」を指している場合、それはどの方角か,北,南,東,西,0,マインクラフト,2
次の食料のうち、満腹度の回復量が「8」であり、入手しやすさからおすすめされている加工品はどれか,パン,ベイクドポテト,パンプキンパイ,ステーキ,3,マインクラフト,1
「金のニンジン」の満腹度回復量はいくつか,4,5,6,8,2,マインクラフト,4
「アイアンゴーレムトラップ」を作成することで効率よく入手できるアイテムはどれか,鉄鉱石,鉄インゴット,鉄の剣,鉄ブロック,1,マインクラフト,1
「クリーパートラップ」で大量に入手することを目的とする、ロケット花火の原料となるアイテムはどれか,火薬,TNT,砂,粘土,0,マインクラフト,1
オウムに与えると死んでしまうアイテムはどれか,カカオ豆,クッキー,種,腐った肉,1,マインクラフト,2
エンドポータルに似たオブジェクトやTNTトラップが存在する「隠し部屋」がある構造物はどれか,要塞,ピラミッド,森の洋館,古代都市,2,マインクラフト,4
開発者によって付けられた「エンダードラゴン」の名前は何か,スティーブ,アレックス,ジーン,ノッチ,2,マインクラフト,5
ゲーム内の看板やチャットで、記号の「点3つ(...)」を入力すると変換される絵文字はどれか,ハート,剣,ツルハシ,クリーパーの顔,0,マインクラフト,5
スニッファーの卵を孵化させる際、孵化時間を半分(約10分)に短縮できるブロックはどれか,砂,土,コケブロック,干草の俵,2,マインクラフト,3
「エンドロッド」をクラフトする際に必要な材料は「ブレイズロッド」と何か,エンドストーン,焼いたコーラスフルーツ,エンダーパール,シュルカーの殻,1,マインクラフト,4
統合版において、水中で呼吸するための空間を作る裏技として、ブロックを壊した瞬間に設置するアイテムはどれか,松明,ドア,看板,はしご,1,マインクラフト,4
鉄が最も多く生成されるとされるY座標はどこか,Y=16,Y=-54,Y=232,Y=128,2,マインクラフト,5
クロスボウのダメージを増やす裏技として、花火のクラフトに使用すると良いアイテムはどれか,火薬(多め),ダイヤモンド,花火の星(多め),鉄塊,2,マインクラフト,5
「司書ガチャ」において、粘着ピストンと一緒に使用することで効率化できるレッドストーンアイテムはどれか,ボタン,感圧板,レバー,レッドストーンブロック,2,マインクラフト,3
Ver1.21で追加された新モブ「ブリーズ」がまとっているものは何か,炎,水,風,雷,2,マインクラフト,2
ネザライト装備一式の特徴として、以前の最強装備(ダイヤ)には無かった耐性は何か,火炎耐性,爆発耐性,ノックバック耐性,魔法耐性,2,マインクラフト,3
ガストの鳴き声の元となっている動物は何か,犬,猫,鳥,イルカ,1,マインクラフト,4
「レコード11」の正確な再生時間はどれくらいか,1分11秒,1分19秒,11分11秒,1分01秒,0,マインクラフト,5
ピグリンが「中度の怒り(レベル2)」を発動する条件に含まれる行動はどれか,走る,ジャンプする,チェストを開ける,松明を置く,2,マインクラフト,4
統合版において、爆発でも破壊されず、サボテンや溶岩でのみ消滅するアイテムはどれか,ネザースター,ドラゴンの卵,ビーコン,エンチャントされた金リンゴ,0,マインクラフト,5
釣りにおいて、1000回に1度の確率で釣れるとされる「大当たり(ゴミ分類)」のアイテムはどれか,エンチャント本,名札,鞍,10個のイカスミ,3,マインクラフト,5
