問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解番号(0-3),カテゴリー,難易度(1-5)
地質時代で人類が誕生したとされるのはいつ頃か,約700万年前,約20万年前,約1万年前,約40億年前,0,歴史,1
ホモ・サピエンス（新人）が出現した時期として正しいものはどれか,約700万年前,約100万年前,約20万年前,約1万年前,2,歴史,2
日本列島で発見されている更新世の化石人骨はどの段階のものか,猿人,原人,旧人,新人,3,歴史,3
縄文時代に東日本を中心に広がったブナやナラなどの森林を何というか,針葉樹林,照葉樹林,落葉広葉樹林,亜熱帯林,2,歴史,2
縄文時代、植物性食物を煮るために発明された道具は何か,打製石器,磨製石器,土器,石包丁,2,歴史,1
『漢書』地理志に記された、紀元前1世紀頃の倭人の状況はどれか,女王が統治していた,100余国に分かれていた,30国が通交していた,金印を授かっていた,1,歴史,2
57年に後漢の光武帝から金印を授かったのはどこの国の王か,邪馬台国,奴国,狗奴国,伊都国,1,歴史,2
3世紀、卑弥呼が中国の魏に使いを送った際、皇帝から与えられた称号は何か,倭国王,日本国王,親魏倭王,安東大将軍,2,歴史,2
古墳時代の前期に多く見られる、日本特有の墳形はどれか,円墳,方墳,前方後円墳,前方後方墳,2,歴史,1
5世紀の倭の五王のうち、「武」に比定される天皇は誰か,応神天皇,仁徳天皇,雄略天皇,継体天皇,2,歴史,3
604年に制定され、役人の心得を説いたものはどれか,冠位十二階,十七条憲法,大宝律令,養老律令,1,歴史,2
607年に遣隋使として派遣され、中国に渡った人物は誰か,小野妹子,犬上御田鍬,阿倍仲麻呂,最澄,0,歴史,2
蘇我入鹿を暗殺し、大化の改新を開始した人物は誰か,聖徳太子,中大兄皇子,天武天皇,藤原不比等,1,歴史,2
天智天皇が作成した、日本最古の全国的な戸籍は何か,庚午年籍,庚寅年籍,計帳,正倉院戸籍,0,歴史,3
壬申の乱に勝利し、飛鳥浄御原宮で即位した天皇は誰か,天智天皇,天武天皇,持統天皇,元明天皇,1,歴史,2
701年に完成した、日本初の本格的な律令は何か,近江令,飛鳥浄御原令,大宝律令,養老律令,2,歴史,2
奈良時代の平城京において、官営の市場を管理した役所はどれか,左京職,市司,大宰府,摂津職,1,歴史,3
聖武天皇が国分寺建立の詔を出した背景にある思想は何か,神仏習合,鎮護国家,末法思想,本地垂迹,1,歴史,2
